Country,outbreak.identifier,react.vac.start.date.one,react.vac.end.date.one,react.vac.start.date.two,react.vac.end.date.two,Geographic.marker.1,Geographic.marker.2,Geographic.marker.3,vacc.marker,reac.vac.one,reac.target.pop.one,reac.vac.perc.one,source.one,source.two,source.three
Uganda ,Uganda_2010,1/20/2011,1/25/2011,,,Northern Region,Agogo District,Patongo Sub-County,Uganda_2011_1,21125,25480,,https://reliefweb.int/report/uganda/yellow-fever-epidemic-dref-operation-final-report-n°-mdrug019,,
Uganda ,Uganda_2010,1/20/2011,1/25/2011,,,Northern Region,Agogo District,Lukole Sub-County,Uganda_2011_1,16035,21756,,https://reliefweb.int/report/uganda/yellow-fever-epidemic-dref-operation-final-report-n°-mdrug019,,
Uganda ,Uganda_2010,1/20/2011,1/25/2011,,,Northern Region,Agogo District,Kotomor Sub-County,Uganda_2011_1,17209,17640,,https://reliefweb.int/report/uganda/yellow-fever-epidemic-dref-operation-final-report-n°-mdrug019,,
Uganda ,Uganda_2010,1/20/2011,1/25/2011,,,Northern Region,Agogo District,Omot Sub-County,Uganda_2011_1,13552,14014,,https://reliefweb.int/report/uganda/yellow-fever-epidemic-dref-operation-final-report-n°-mdrug019,,
Uganda ,Uganda_2010,1/20/2011,1/25/2011,,,Northern Region,Agogo District,Arum Sub-County,Uganda_2011_1,9534,11074,,https://reliefweb.int/report/uganda/yellow-fever-epidemic-dref-operation-final-report-n°-mdrug019,,
Uganda ,Uganda_2010,1/20/2011,1/25/2011,,,Northern Region,Agogo District,Lamiyo Sub-county,Uganda_2011_1,13583,13426,,https://reliefweb.int/report/uganda/yellow-fever-epidemic-dref-operation-final-report-n°-mdrug019,,
Uganda ,Uganda_2010,1/20/2011,1/25/2011,,,Northern Region,Agogo District,Lira Palwo Sub-county,Uganda_2011_1,19002,24990,,https://reliefweb.int/report/uganda/yellow-fever-epidemic-dref-operation-final-report-n°-mdrug019,,
Uganda ,Uganda_2010,1/20/2011,1/25/2011,,,Northern Region,Agogo District,Adilang sub-county,Uganda_2011_1,23223,26950,,https://reliefweb.int/report/uganda/yellow-fever-epidemic-dref-operation-final-report-n°-mdrug019,,
Uganda ,Uganda_2010,1/20/2011,1/25/2011,,,Northern Region,Agogo District,Lapono Sub-county,Uganda_2011_1,17881,20188,,https://reliefweb.int/report/uganda/yellow-fever-epidemic-dref-operation-final-report-n°-mdrug019,,
Uganda ,Uganda_2010,1/20/2011,1/25/2011,,,Northern Region,Agogo District,Paimol Sub-county,Uganda_2011_1,15803,19110,,https://reliefweb.int/report/uganda/yellow-fever-epidemic-dref-operation-final-report-n°-mdrug019,,
Uganda ,Uganda_2010,1/20/2011,1/25/2011,,,Northern Region,Agogo District,Wol Sub-county,Uganda_2011_1,18500,28812,,https://reliefweb.int/report/uganda/yellow-fever-epidemic-dref-operation-final-report-n°-mdrug019,,
Uganda ,Uganda_2010,1/20/2011,1/25/2011,,,Northern Region,Agogo District,Parabongo Sub-county,Uganda_2011_1,9728,17640,,https://reliefweb.int/report/uganda/yellow-fever-epidemic-dref-operation-final-report-n°-mdrug019,,
Uganda ,Uganda_2010,1/20/2011,1/25/2011,,,Northern Region,Agogo District,Kalongo Town Council,Uganda_2011_1,12126,14112,,https://reliefweb.int/report/uganda/yellow-fever-epidemic-dref-operation-final-report-n°-mdrug019,,
Uganda ,Uganda_2010,1/20/2011,1/25/2011,,,Northern Region,Agogo District,Omiya Pacwa Sub-county,Uganda_2011_1,9952,11074,,https://reliefweb.int/report/uganda/yellow-fever-epidemic-dref-operation-final-report-n°-mdrug019,,
Uganda ,Uganda_2010,1/22/2011,1/25/2011,,,Northern Region,Abim District,,Uganda_2011_1,65182,54096,,https://reliefweb.int/report/uganda/yellow-fever-epidemic-dref-operation-final-report-n°-mdrug019,,
Uganda ,Uganda_2010,1/22/2011,1/25/2011,,,Northern Region,Kitgum District,,Uganda_2011_1,174097,224420,,https://reliefweb.int/report/uganda/yellow-fever-epidemic-dref-operation-final-report-n°-mdrug019,,
Uganda ,Uganda_2010,1/22/2011,1/25/2011,,,Northern Region,Lamwo District,,Uganda_2011_1,114450,154938,,https://reliefweb.int/report/uganda/yellow-fever-epidemic-dref-operation-final-report-n°-mdrug019,,
Uganda ,Uganda_2010,1/22/2011,1/25/2011,,,Northern Region,Pader District,,Uganda_2011_1,156273,205898,,https://reliefweb.int/report/uganda/yellow-fever-epidemic-dref-operation-final-report-n°-mdrug019,,
