outbreak.identifier,outbreak.year,country,index.presentation,index.onset,index.sus.conf,react.vac.local.start,react.vac.mass.start,tot.cases.reported,tot.cases.sus,tot.cases.confirmed,tot.cases.prob,tot.deaths.reported,tot.deaths.sus,tot.deaths.confirmed,tot.deaths.prob,first.case confirmed,who.notif,outbreak.dec,source.one,source.two,source.three,source.four,source.five
Nigeria_2018,2018,Nigeria,NA,NA,NA,NA,12/18/2018,209,NA,67,NA,57,25,15,NA,11/23/2018,11/22/2018,NA,https://link.springer.com/article/10.1186/s12889-022-14043-6,https://ncdc.gov.ng/diseases/sitreps/?cat=10&name=An%20update%20of%20Yellow%20Fever%20outbreak%20in%20Nigeria,https://www.who.int/emergencies/disease-outbreak-news/item/09-january-2019-yellow-fever-nigeria-en,,
DRC_2016,2016,DRC,NA,NA,NA,NA,5/25/2016,2987,NA,78,NA,95,NA,17,NA,NA,3/22/2016,4/23/2016,https://www.cdc.gov/mmwr/volumes/66/wr/mm6612a5.htm,https://reliefweb.int/report/angola/situation-report-yellow-fever-28-october-2016,https://pmc.ncbi.nlm.nih.gov/articles/PMC6300298/,https://reliefweb.int/report/angola/situation-report-yellow-fever-28-july-2016,https://reliefweb.int/report/democratic-republic-congo/drc-humanitarian-situation-report-31-august-2016?_gl=1*8g9cku*_ga*NDQ2NjE0MjkuMTc2NTI1MjgyNQ..*_ga_E60ZNX2F68*czE3NzQ5NDY3NjYkbzEzNiRnMSR0MTc3NDk1MTAxMiRqNjAkbDAkaDA.
Ethiopia_2012,2012,Ethiopia,NA,NA,NA,NA,6/10/2013,141,134,7,NA,43,NA,NA,NA,5/7/2013,NA,5/24/2013,https://reliefweb.int/report/ethiopia/yellow-fever-ethiopia,"https://pmc.ncbi.nlm.nih.gov/articles/PMC5432991/#:~:text=A%20total%20of%20141%20Suspected,initiated%20to%20detect%20every%20case.","https://reliefweb.int/report/ethiopia/ethiopia-–-epidemics-echo-daily-flash-24052013#:~:text=A%20yellow%20fever%20outbreak%20in,are%20currently%20planning%20the%20response.",,
Nigeria_2017,2017,Nigeria,NA,8/16/2017,confirmed,NA,10/11/2017,778,,43,,46,,10,,8/29/2017,9/15/2017,9/15/2017,https://iris.who.int/bitstream/handle/10665/259401/OEW44-28103112017.pdf?sequence=1&isAllowed=y,https://ncdc.gov.ng/diseases/sitreps/?cat=10&name=An%20update%20of%20Yellow%20Fever%20outbreak%20in%20Nigeria,https://ncdc.gov.ng/diseases/sitreps/?cat=10&name=An%20update%20of%20Yellow%20Fever%20outbreak%20in%20Nigeria,,
Nigeria_2020,2020,Nigeria,NA,7/24/2020,suspected,NA,11/10/2020,1502,NA,161,NA,296,NA,17,NA,11/8/2020,11/2/2020,11/12/2020,https://ncdc.gov.ng/diseases/sitreps/?cat=10&name=An%20update%20of%20Yellow%20Fever%20outbreak%20in%20Nigeria,https://reliefweb.int/report/nigeria/nigeria-yellow-fever-emergency-plan-action-epoa-dref-operation-n-mdrng031,https://www.afro.who.int/news/yellow-fever-who-supports-government-tackle-outbreaks-delta-and-enugu-states,https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON299,
Uganda_2019,2019,Uganda,10/30/2019,10/25/2019,confirmed,NA,8/24/2020,46,NA,10,NA,NA,NA,4,NA,12/10/2019,NA,1/23/2020,https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON249,https://app.powerbi.com/view?r=eyJrIjoiMzhlYWRjODQtMjQ4Ny00OThjLTlmNTItYTFiM2E2ZDM5ZDQ2IiwidCI6ImY2MTBjMGI3LWJkMjQtNGIzOS04MTBiLTNkYzI4MGFmYjU5MCIsImMiOjh9,https://iris.who.int/handle/10665/344323,,
Togo_2020,2020,Togo,2/3/2020,1/31/2020,confirmed,5/14/2020,NA,3,NA,1,NA,1,0,1,0,3/17/2020,NA,NA,https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON279,https://iris.who.int/bitstream/handle/10665/335723/OEW39-2127092020.pdf?sequence=1&isAllowed=y,,,
Sudan_2013,2013,Sudan,NA,NA,NA,10/29/2013,11/7/2013,48,NA,3,,14,NA,NA,NA,11/26/2013,NA,10/31/2013,https://reliefweb.int/report/sudan/yellow-fever-outbreak-sudan-situation-report-no-2-14-november-2013,https://reliefweb.int/report/sudan/yellow-fever-sudan-situation-report-no-4-27-november-2013,https://iris.who.int/items/86a07d8e-1ec6-4925-a2f5-cf3e1c9c326b,https://reliefweb.int/report/sudan/yellow-fever-outbreak-sudan-situation-report-no-1-7-november-2013,https://reliefweb.int/report/sudan/humanitarian-bulletin-sudan-issue-48-25-november-1-december-2013-enar
South_Sudan_2018,2018,South Sudan,11/23/2018,11/18/2018,confirmed,,3/25/2019,3,0,3,0,0,0,0,0,NA,11/29/2018,11/29/2018,https://reliefweb.int/report/south-sudan/situation-report-yellow-fever-disease-outbreak-sakure-nzara-county-gbudue-state,https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON262,https://reliefweb.int/report/democratic-republic-congo/who-afro-outbreaks-and-other-emergencies-week-11-11-17-march-2019,,
South_Sudan_2020,2020,South Sudan,3/3/2020,NA,confirmed,NA,10/23/2020,102,100,2,0,0,0,0,0,3/28/2020,3/3/2020,NA,https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON262,https://iris.who.int/server/api/core/bitstreams/7c12d912-4679-4683-b745-9d8c685a4bc2/content,https://reliefweb.int/report/south-sudan/south-sudan-conducts-vaccination-campaign-protect-93-000-people-yellow-fever,https://iris.who.int/server/api/core/bitstreams/549bba3d-8934-486b-abdc-a584e4347b19/content,
